,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,target,date
461,21584720.0,191.55,191.57,190.22,21480120.0,192.42,192.88,190.44,16859020.0,191.39,192.61,191.15,190.03,06/15/18
462,44284660.0,116.47,116.5,115.65,46286150.0,115.38,116.73,115.23,33962370.0,115.04,116.2,114.98,115.8,12/19/16
463,25676720.0,139.41,140.75,139.03,15281850.0,139.3,139.65,138.84,17048800.0,138.85,139.43,138.82,140.72,03/16/17
464,51368540.0,177.25,177.3,173.2,32395870.0,177.3,179.44,176.82,27052000.0,177.3,177.78,176.6,174.51,01/25/18
465,41464880.0,167.25,170.02,165.19,39824200.0,173.68,175.15,166.92,36778560.0,168.07,173.1,166.44,167.81,03/29/18
466,39494770.0,220.42,222.88,216.84,52902320.0,214.52,219.5,212.32,41084070.0,225.46,226.35,216.05,221.16,10/15/18
467,44662320.0,174.24,174.95,170.26,23623970.0,174.94,176.6,172.1,31096240.0,179.73,180.27,176.55,171.51,11/27/18
468,19354440.0,106.0,106.19,105.06,25568350.0,105.47,106.25,104.89,25686350.0,106.48,107.07,105.9,104.89,03/29/16
469,35987630.0,127.74,128.57,127.35,33559770.0,125.72,127.15,125.58,31695870.0,126.04,126.37,125.04,129.08,07/17/15
470,19723390.0,268.81,271.1,268.5,22632380.0,268.6,270.07,265.86,32182650.0,270.0,270.8,264.91,267.78,12/12/19
471,30031410.0,98.92,99.3,98.5,38885980.0,97.39,98.99,97.32,25879680.0,97.41,97.67,96.84,98.7,07/18/16
472,80151380.0,281.1,286.0,272.96,49678430.0,286.53,297.88,286.5,57668360.0,300.95,302.53,286.13,257.26,02/28/20
473,46810020.0,115.19,115.39,112.85,29158640.0,116.04,116.94,115.51,46301930.0,117.64,117.69,115.08,112.18,12/14/15
474,39281290.0,287.38,288.2,282.35,32788640.0,282.4,286.33,280.63,48748670.0,280.0,288.25,278.05,284.69,04/17/20
475,39461130.0,142.11,142.8,139.73,21258100.0,140.4,141.5,140.23,43700570.0,141.0,141.0,139.89,139.85,03/22/17
476,33911860.0,296.24,300.6,295.19,25247630.0,289.93,293.68,289.52,36059610.0,289.46,292.69,285.22,297.15,01/03/20
